Modelo,AUC_media,AUC_DE,Brier_media,Brier_DE,DE_prediccion,Convergencia_pct,Repeticiones_validas,Estado,Replica,Prevalencia_observada,Escenario,n,p,Prevalencia,Correlacion
CART,0.7300931878306881,0.14612536416037122,0.2729288516053475,0.11533523737759817,0.23959080262346752,100.0,100,Dominado,6,0.4,1,30,5,0.5,0.0
Logit,0.613590197155538,0.17662254906698965,0.3094530102638426,0.10383159265015826,0.21386358766001487,88.0,88,No dominado,7,0.3333333333333333,1,30,5,0.5,0.0
Firth,0.5880016714766715,0.1842473230741467,0.29813409510259414,0.09576007841220138,0.1934062303464771,100.0,100,Dominado,7,0.3333333333333333,1,30,5,0.5,0.0
Elastic Net,0.5886867965367967,0.18285108997267727,0.27549224956758184,0.07960826149115957,0.16426985946932726,100.0,100,No dominado,7,0.3333333333333333,1,30,5,0.5,0.0
CART,0.631988891895142,0.18600312128587615,0.29801913995248436,0.12367288030680475,0.2736278457730401,100.0,100,No dominado,7,0.3333333333333333,1,30,5,0.5,0.0
Logit,0.6368121693121692,0.16094020337657414,0.3180678634123534,0.11195617864460813,0.21708410706649106,84.0,84,No dominado,8,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.6081547619047619,0.17260002028306015,0.3199773029108371,0.10715077040370063,0.20393290168803896,100.0,100,No dominado,8,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.601082738095238,0.17029756470540464,0.3066345048579213,0.08538058000676824,0.17644974258275167,100.0,100,No dominado,8,0.4666666666666667,1,30,5,0.5,0.0
CART,0.6010989087301588,0.17619505267082272,0.34367730680138253,0.1146195223913116,0.2938791360961554,100.0,100,Dominado,8,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.7704007485569986,0.14805201426053738,0.256835247267553,0.11711994728447289,0.21055312505467075,80.0,80,No dominado,9,0.43333333333333335,1,30,5,0.5,0.0
Firth,0.7375905766852198,0.15235542262262655,0.2649034340721172,0.10158536528508214,0.1954149475433704,100.0,100,Dominado,9,0.43333333333333335,1,30,5,0.5,0.0
Elastic Net,0.7524581761492476,0.1485977429495723,0.2389631011108036,0.07644425393499464,0.15222447830402333,100.0,100,No dominado,9,0.43333333333333335,1,30,5,0.5,0.0
CART,0.7706186847213633,0.14618955133782693,0.24026968644126076,0.10989254969451967,0.24218181880636835,100.0,100,No dominado,9,0.43333333333333335,1,30,5,0.5,0.0
Logit,0.522021293211162,0.1676392732430174,0.3682867344117935,0.10751682752671575,0.2177170450839982,98.0,98,No dominado,10,0.5,1,30,5,0.5,0.0
Firth,0.5228951530612244,0.17121241536163298,0.3385573584909441,0.09422960972496297,0.19031630845921757,100.0,100,No dominado,10,0.5,1,30,5,0.5,0.0
Elastic Net,0.5366753968253968,0.17198629868462778,0.3203612820880723,0.07803009084712086,0.1671126846832681,100.0,100,No dominado,10,0.5,1,30,5,0.5,0.0
CART,0.5212312641723357,0.1930126339487324,0.3987198556721861,0.12716240172029228,0.32381250224834424,100.0,100,Dominado,10,0.5,1,30,5,0.5,0.0
Logit,0.8215022675736963,0.1289526747959911,0.21059084238316692,0.09331079705785991,0.15911108119265413,63.0,63,No dominado,11,0.5666666666666667,1,30,5,0.5,0.0
Firth,0.7805359221466367,0.14279761984711253,0.2340677220939238,0.10144568077314729,0.16114267948341718,100.0,100,Dominado,11,0.5666666666666667,1,30,5,0.5,0.0
Elastic Net,0.7921149376417235,0.15344158106835384,0.21295739854994516,0.08494139142909696,0.13449152930037733,100.0,100,No dominado,11,0.5666666666666667,1,30,5,0.5,0.0
CART,0.5895618339002268,0.15266366737137949,0.37403468808270063,0.1282752133420228,0.2877777700874933,100.0,100,Dominado,11,0.5666666666666667,1,30,5,0.5,0.0
Logit,0.6858663142932805,0.18384677069122446,0.2853694981312158,0.11523158996820364,0.20961730852930546,89.0,89,No dominado,12,0.4,1,30,5,0.5,0.0
Firth,0.6664962000962,0.18601859892438577,0.28200292719119374,0.10253216411072483,0.18539749008518713,100.0,100,Dominado,12,0.4,1,30,5,0.5,0.0
Elastic Net,0.6712693362193365,0.1726564064788407,0.2690305692804118,0.08001518035015472,0.16232388740867218,100.0,100,No dominado,12,0.4,1,30,5,0.5,0.0
CART,0.5496679322991823,0.1612541881025129,0.3840701684012875,0.11764061558184577,0.3115384509441435,100.0,100,No dominado,12,0.4,1,30,5,0.5,0.0
Logit,0.5739549096792276,0.16218615527100969,0.34615751211550855,0.09882122034340605,0.22272335857039155,89.0,89,No dominado,13,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.5628412320483749,0.15659947724944603,0.33256661831279194,0.09642182407109248,0.20441801205250576,100.0,100,No dominado,13,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.5808566609977325,0.16935957643159869,0.31067605171653967,0.07843164622260175,0.17773445314237774,100.0,100,No dominado,13,0.4666666666666667,1,30,5,0.5,0.0
CART,0.5877321003401361,0.15704688860137692,0.3576508217277442,0.1110065164291644,0.2969155715336741,100.0,100,No dominado,13,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.6282568367408793,0.16633255749356962,0.33314624693745637,0.1109084025525805,0.22020268722069822,94.0,94,No dominado,14,0.4666666666666667,1,30,5,0.5,0.0
